client_name,playstore_url,appstore_url,active_keywords_en,active_keywords_ar,dead_keywords,last_run_status,last_run_at
Amazon,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping,https://apps.apple.com/eg/app/id297606951,"[""amazon egypt verification"", ""amazon identity egypt"", ""amazon seller verify egypt"", ""amazon national ID egypt"", ""amazon account verification egypt"", ""amazon.eg signup"", ""amazon egypt ID rejected"", ""amazon egypt can't verify"", ""national ID not working"", ""ID scan failed"", ""ID not recognized"", ""ID rejected"", ""cannot read ID"", ""identity verification failed"", ""KYC failed"", ""document scan error""]","[""أمازون مصر التحقق"", ""أمازون البطاقة الوطنية"", ""أمازون الهوية مش بتتقبل"", ""أمازون مصر تسجيل"", ""أمازون مصر مش شغال"", ""أمازون مصر هوية"", ""أمازون مصر تحقق خطأ"", ""amazon.eg تحقق"", ""البطاقة مش شغالة"", ""التحقق مش شغال"", ""الهوية مش بتتقبل"", ""مسح الهوية فشل"", ""البطاقة مش بتتقرأ"", ""التحقق فشل"", ""رفض الهوية"", ""خطأ في البطاقة""]",,success,2026-05-25T13:25:45.515528+00:00
Thndr,https://play.google.com/store/apps/details?id=com.axismarkets.thndr,https://apps.apple.com/eg/app/id1494883259,"[""thndr account not opening"", ""thndr signup problem"", ""thndr registration failed"", ""thndr KYC issue"", ""thndr KYC failed"", ""thndr verification failed"", ""thndr identity failed"", ""thndr ID not working"", ""thndr ID rejected"", ""thndr selfie rejected"", ""thndr face not recognized"", ""thndr selfie failed"", ""thndr phone verification"", ""thndr number not verified"", ""thndr OTP not working"", ""thndr account opened successfully"", ""thndr verification easy"", ""thndr KYC smooth"", ""thndr signup fast"", ""thndr invest account"", ""open trading account thndr"", ""national ID not working"", ""ID scan failed"", ""ID not recognized"", ""ID rejected"", ""cannot read ID"", ""identity verification failed"", ""KYC failed"", ""document scan error"", ""selfie rejected"", ""face doesn't match"", ""photo not accepted"", ""face recognition failed""]","[""ثاندر تسجيل مشكلة"", ""فتح حساب ثاندر صعب"", ""ثاندر ما بيفتحش حساب"", ""ثاندر الهوية مش بتتقبل"", ""ثاندر البطاقة مش بتتقرأ"", ""ثاندر رفض الهوية"", ""ثاندر السيلفي اترفض"", ""ثاندر التحقق مش شغال"", ""ثاندر خطأ في التسجيل"", ""ثاندر رقم الهاتف مش بيتأكد"", ""ثاندر الكود مش بييجي"", ""ثاندر OTP مشكلة"", ""ثاندر تسجيل سهل"", ""فتح حساب ثاندر بسرعة"", ""ثاندر التحقق مش لقيت مشكلة"", ""البطاقة مش شغالة"", ""التحقق مش شغال"", ""الهوية مش بتتقبل"", ""مسح الهوية فشل"", ""البطاقة مش بتتقرأ"", ""التحقق فشل"", ""رفض الهوية"", ""خطأ في البطاقة"", ""السيلفي اترفض"", ""الوجه مش بيتطابق"", ""الصورة مش بتتقبل"", ""التعرف على الوجه فشل""]",,success,2026-05-25T18:59:01.162328+00:00
Klivvr,https://play.google.com/store/apps/details?id=com.klivvr.consumer,https://apps.apple.com/eg/app/id1586109111,"[""klivvr account not opening"", ""klivvr signup problem"", ""klivvr registration failed"", ""klivvr wallet not activated"", ""klivvr verification failed"", ""klivvr national ID not working"", ""klivvr ID rejected"", ""klivvr ID not recognized"", ""klivvr passport not working"", ""klivvr passport rejected"", ""klivvr identity failed"", ""klivvr KYC failed"", ""klivvr document upload failed"", ""klivvr account opened"", ""klivvr verification easy"", ""klivvr signup fast"", ""klivvr wallet activated"", ""klivvr KYC smooth"", ""open klivvr wallet"", ""klivvr digital wallet signup"", ""national ID not working"", ""ID scan failed"", ""ID not recognized"", ""ID rejected"", ""cannot read ID"", ""identity verification failed"", ""KYC failed"", ""document scan error""]","[""كليفر تسجيل مشكلة"", ""فتح محفظة كليفر صعب"", ""كليفر الحساب ما بيفتحش"", ""كليفر الهوية مش بتتقبل"", ""كليفر البطاقة مش شغالة"", ""كليفر رفض البطاقة"", ""كليفر الجواز مش بيتقبل"", ""كليفر رفض الجواز"", ""كليفر محفظة مشكلة"", ""كليفر التحقق مش شغال"", ""كليفر تسجيل سهل"", ""فتح محفظة كليفر بسرعة"", ""كليفر التحقق تمام"", ""البطاقة مش شغالة"", ""التحقق مش شغال"", ""الهوية مش بتتقبل"", ""مسح الهوية فشل"", ""البطاقة مش بتتقرأ"", ""التحقق فشل"", ""رفض الهوية"", ""خطأ في البطاقة""]",,success,2026-05-25T20:04:43.377866+00:00
ADIB,https://play.google.com/store/apps/details?id=com.ADIBEgyptPhone,https://apps.apple.com/eg/app/id1263042975,"[""ADIB account not opening"", ""ADIB account opening problem"", ""ADIB registration failed"", ""ADIB digital onboarding issue"", ""ADIB KYC failed"", ""ADIB verification failed"", ""ADIB identity not accepted"", ""ADIB ID rejected"", ""ADIB ID not working"", ""ADIB selfie rejected"", ""ADIB selfie failed"", ""ADIB liveness not working"", ""ADIB liveness check failed"", ""ADIB face not recognized"", ""ADIB face match failed"", ""ADIB sanctions screening"", ""ADIB application rejected"", ""ADIB account opened online"", ""ADIB verification easy"", ""ADIB digital banking smooth"", ""ADIB onboarding fast"", ""ADIB KYC smooth"", ""open ADIB account online"", ""ADIB Egypt mobile banking signup"", ""national ID not working"", ""ID scan failed"", ""ID not recognized"", ""ID rejected"", ""cannot read ID"", ""identity verification failed"", ""KYC failed"", ""document scan error"", ""selfie video not working"", ""liveness check failed"", ""smile not detected"", ""blink not detected"", ""face not detected"", ""move head not working"", ""selfie rejected"", ""face doesn't match"", ""photo not accepted"", ""face recognition failed""]","[""أديب فتح حساب مشكلة"", ""أديب الحساب ما بيفتحش"", ""أديب تسجيل خطأ"", ""أديب التحقق مش شغال"", ""ADIB الهوية مش بتتقبل"", ""أديب رفض الهوية"", ""أديب البطاقة مش بتتقرأ"", ""أديب السيلفي اترفض"", ""أديب الوجه مش بيتعرف عليه"", ""أديب فيديو الحياة مش شغال"", ""أديب الكاميرا مش شغالة"", ""أديب الطلب اترفض"", ""ADIB مصر فتح حساب"", ""أديب فتح حساب اونلاين سهل"", ""أديب التسجيل كان سريع"", ""أديب التحقق تمام"", ""البطاقة مش شغالة"", ""التحقق مش شغال"", ""الهوية مش بتتقبل"", ""مسح الهوية فشل"", ""البطاقة مش بتتقرأ"", ""التحقق فشل"", ""رفض الهوية"", ""خطأ في البطاقة"", ""فيديو السيلفي مش شغال"", ""فحص الوجه فشل"", ""مش بيتعرف على الابتسامة"", ""مش بيتعرف على الرمشة"", ""الوجه مش متعرف عليه"", ""السيلفي اترفض"", ""الوجه مش بيتطابق"", ""الصورة مش بتتقبل"", ""التعرف على الوجه فشل""]",,success,2026-05-25T18:39:12.816835+00:00
